city,Geographic.area,Geographic.area.title,LHIN,Health_Region
Acton,Halton,Region,Missisauga Halton,
Algoma Mills,Algoma,District,North East,
Alliston,Simcoe,County,North Simcoe Muskoka,
Almonte,Lanark,County,Champlain,
Amhertsburg,Essex,County,Erie St. Clair,
Ancaster,Hamilton,City,Hamilton Niagara Haldimand Brant,
Angus,Simcoe,County,North Simcoe Muskoka,
Ardendale,Frontenac,County,South East,
Arkell,Wellington,County,Waterloo Wellington,
Ashton,Lanark,County,Champlain,
Attawapiskat,Kenora,District,North East,
Ayr,Waterloo,Region,Waterloo Wellington,
Ayton,Grey,County,South West,
Baden,Waterloo,Region,Waterloo Wellington,
Badjeros,Grey,County,South West,
Barrhaven,Ottawa,City,Champlain,
Beamsville,Niagara,Region,,
Beeton,Simcoe,County,,
Belmont,Elgin,County,,
Belwood,Wellington,County,,
Big Trout Lake,Kenora,District,,
Binbrook,Hamilton,City,,
Blackstock,Durham,Region,,
Blenheim,Chatham-Kent,City,,
Bloomfield,Prince Edward,City,,
Bolton,Peel,Region,,
Bradford,Simcoe,County,,
Brechin,Simcoe,County,,
Breslau,Waterloo,Region,,
Bridgenorth,Peterborough,County,,
Brooklin,Durham,Region,,
Caledonia,Haldimand,City,,
Capreol,Greater Sudbury,City,,
Cargill,Bruce,County,,
Casselman,Prescott and Russell,County,,
Chatham,Chatham-Kent,City,,
Chelmsford,Greater Sudbury,City,,
Chesterville,"Stormont, Dundas and Glengarry",County,,
Clarksburg,Grey,County,,
Coe Hill,Hastings,County,,
Colborne,Northumberland,County,,
Concord,York,Region,,
Corbyville,Hastings,County,,
Corunna,Lambton,County,,
Courtice,Durham,Region,,
Cumberland,Ottawa,City,,
Downsview,Toronto,City,,
Dresden,Chatham-Kent,City,,
Drumbo,Oxford,County,,
Dundas,Hamilton,City,,
Dunrobin,Ottawa,City,,
East York,Toronto,City,,
Eganville,Renfrew,County,,
Egbert,Simcoe,County,,
Elk Lake,Timiskaming,District,,
Enterprise,Lennox and Addington,County,,
Erin,Wellington,County,,
Etobicoke,Toronto,City,,
Fenelon Falls,Kawartha Lakes,City,,
Fingal,Elgin,County,,
Flesherton,Grey,County,,
Forest,Lambton,County,,
Georgetown,Halton,Region,,
Godfrey,Frontenac,County,,
Grand Bend,Lambton,County,,
Haileybury,Timiskaming,District,,
Harriston,Wellington,County,,
Hastings,Hastings,County,,
Havelock,Peterborough,County,,
Hood,Lanark,County,,
Hudson,Timiskaming,District,,
Innisfil,Simcoe,County,,
Janetville,Kawartha Lakes,City,,
Jarvis,Haldimand,City,,
Kanata,Ottawa,City,,
Kasabonika,Kenora,District,,
Keswick,York,Region,,
Kinburn,Huron,County,,
Kirkfield,Kawartha Lakes,City,,
Kleinburg Station,York,Region,,
Lakefield,Peterborough,County,,
Lanark,Lanark,County,,
Lansdowne,Leeds and Grenville,County,,
Lindsay,Kawartha Lakes,City,,
Lively,Greater Sudbury,City,,
Longlac,Thunder Bay,District,,
Loretto,Simcoe,County,,
Manotick Station,Ottawa,City,,
Maple,York,Region,,
Marathon,Thunder Bay,District,,
Monkton,Perth,County,,
Mono,Dufferin,County,,
Moose Creek,"Stormont, Dundas and Glengarry",County,,
Moosonee,Cochrane,District,,
Morrisburg,"Stormont, Dundas and Glengarry",County,,
Mount Albert,York,Region,,
Mount Brydges,Middlesex,County,,
Mount Elgin,Oxford,County,,
Mountain Grove,Frontenac,County,,
Nepean,Ottawa,City,,
Nobleton,York,Region,,
North Woodslee,Essex,County,,
North York,Toronto,City,,
Omemee,Kawartha Lakes,City,,
Orchardville,Grey,County,,
Orleans,Ottawa,City,,
Pakenham,Lanark,County,,
Paris,Brant,City,,
Petawawa,Renfrew,County,,
Picton,Prince Edward,City,,
Pontypool,Kawartha Lakes,City,,
Port Elgin,Bruce,County,,
Port Rowan,Norfolk,City,,
Ramore,Cochrane,District,,
Richmond,Ottawa,City,,
Ridgetown,Chatham-Kent,City,,
Ridgeway,Niagara,Region,,
Rockland,Prescott and Russell,County,,
Rockwood,Wellington,County,,
Rodney,Elgin,County,,
Russell,Prescott and Russell,County,,
Sandy Lake,Kenora,District,,
Scarborough,Toronto,City,,
Scotland,Brant,City,,
Severn Bridge,Muskoka,District,,
Slate Falls,Kenora,District,,
South Porcupine,Cochrane,District,,
Springfield,Elgin,County,,
Springford,Oxford,County,,
Stevensville,Niagara,Region,,
Stittsville,Ottawa,City,,
Stoney Creek,Hamilton,City,,
Stouffville,York,Region,,
Sturgeon Falls,Nipissing,District,,
Sunderland,Durham,Region,,
Sundridge,Parry Sound,District,,
Sutton West,York,Region,,
Sydenham,Frontenac,County,,
Thorndale,Middlesex,County,,
Thornhill,York,Region,,
Thornton,Simcoe,County,,
Thorold,Niagara,Region,,
Tottenham,Simcoe,County,,
Trenton,Hastings,County,,
Unionville,York,Region,,
Utopia,Simcoe,County,,
Utterson,Muskoka,District,,
Wallaceburg,Chatham-Kent,City,,
Wasaga Beach,Simcoe,County,,
Washago,Simcoe,County,,
Waterdown,Hamilton,City,,
Waterford,Norfolk,City,,
Westport,Leeds and Grenville,County,,
Williamsburg,"Stormont, Dundas and Glengarry",County,,
Woodbridge,York,Region,,
Woodlawn,Ottawa,City,,
Wyecombe,Norfolk,City,,
Wyoming,Lambton,County,,
